"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 16 20:38:49 UTC 2026","Mon Feb 16 20:38:54 UTC 2026","4954","mobile-chrome","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-01: Мобильное устройство - отсутствие горизонтального скролла",""
"passed","Mon Feb 16 20:40:02 UTC 2026","Mon Feb 16 20:40:09 UTC 2026","6822","webkit","visual/responsive.spec.ts","Визуальные тесты - Устройства @visual @P1","","","VIS-09: Desktop Chrome - стандартное разрешение",""
"passed","Mon Feb 16 20:37:46 UTC 2026","Mon Feb 16 20:37:50 UTC 2026","4848","chromium","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: medium - Средний размер",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","1","firefox","accessibility/a11y.spec.ts","Тесты доступности - Axe Core @accessibility @P2","","","A11Y-AXE: Полный аудит с axe-core",""
"passed","Mon Feb 16 20:37:55 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","4541","chromium","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-01: Страница содержит элементы для формирования виджета",""
"passed","Mon Feb 16 20:39:02 UTC 2026","Mon Feb 16 20:39:08 UTC 2026","6454","chromium","visual/responsive.spec.ts","Визуальные тесты - Устройства @visual @P1","","","VIS-09: Desktop Chrome - стандартное разрешение",""
"passed","Mon Feb 16 20:38:07 UTC 2026","Mon Feb 16 20:38:12 UTC 2026","5369","mobile-safari","functional/widget-designs.spec.ts","Widget Designs @functional @P0","","","Design: minimal - Минималистичный дизайн",""
"passed","Mon Feb 16 20:37:11 UTC 2026","Mon Feb 16 20:37:17 UTC 2026","5521","chromium","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-05: Формы имеют связанные labels",""
"passed","Mon Feb 16 20:37:40 UTC 2026","Mon Feb 16 20:37:48 UTC 2026","7945","mobile-safari","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-05: Формы имеют связанные labels",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","0","firefox","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-10: Ошибка сервера 500",""
"skipped","Mon Feb 16 20:37:59 UTC 2026","Mon Feb 16 20:37:59 UTC 2026","0","mobile-safari","functional/edge-cases.spec.ts","Edge Cases - Даты и время @functional @P1","","","EDGE-01: Создание события с пересекающимися датами",""
"skipped","Mon Feb 16 20:37:26 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","0","chromium","functional/edge-cases.spec.ts","Edge Cases - Параллельные действия @functional @P2","","","EDGE-11: Быстрые последовательные клики",""
"passed","Mon Feb 16 20:36:59 UTC 2026","Mon Feb 16 20:37:06 UTC 2026","6980","firefox","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-04: Ссылки имеют различимый текст",""
"skipped","Mon Feb 16 20:38:00 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","0","webkit","functional/edge-cases.spec.ts","Edge Cases - Даты и время @functional @P1","","","EDGE-03: Событие с датой окончания раньше даты начала",""
"skipped","Mon Feb 16 20:38:00 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","0","webkit","functional/edge-cases.spec.ts","Edge Cases - Параллельные действия @functional @P2","","","EDGE-11: Быстрые последовательные клики",""
"passed","Mon Feb 16 20:39:16 UTC 2026","Mon Feb 16 20:39:21 UTC 2026","5721","mobile-safari","smoke/basic-rendering.spec.ts","Smoke тесты - Базовое отображение @smoke @P0","","","SMOKE-05: Футер страницы отображается",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","0","firefox","functional/edge-cases.spec.ts","Edge Cases - Даты и время @functional @P1","","","EDGE-02: Создание события в прошлом",""
"skipped","Mon Feb 16 20:37:59 UTC 2026","Mon Feb 16 20:37:59 UTC 2026","0","mobile-safari","functional/edge-cases.spec.ts","Edge Cases - Параллельные действия @functional @P2","","","EDGE-11: Быстрые последовательные клики",""
"passed","Mon Feb 16 20:36:57 UTC 2026","Mon Feb 16 20:37:03 UTC 2026","6596","mobile-chrome","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-02: Изображения имеют alt-атрибуты",""
"passed","Mon Feb 16 20:39:55 UTC 2026","Mon Feb 16 20:40:04 UTC 2026","8709","mobile-safari","visual/responsive.spec.ts","Визуальные тесты - Устройства @visual @P1","","","VIS-09: Desktop Chrome - стандартное разрешение",""
"passed","Mon Feb 16 20:38:31 UTC 2026","Mon Feb 16 20:38:39 UTC 2026","8471","webkit","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: large - Большой размер",""
"passed","Mon Feb 16 20:38:09 UTC 2026","Mon Feb 16 20:38:17 UTC 2026","7761","firefox","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-07: Клик по кнопке копирования не вызывает ошибок",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","1","firefox","functional/edge-cases.spec.ts","Edge Cases - Длина и формат данных @functional @P1","","","EDGE-05: Заголовок со специальными символами",""
"passed","Mon Feb 16 20:39:00 UTC 2026","Mon Feb 16 20:39:09 UTC 2026","9398","webkit","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-07: Клик по кнопке копирования не вызывает ошибок",""
"passed","Mon Feb 16 20:37:57 UTC 2026","Mon Feb 16 20:38:02 UTC 2026","4919","mobile-chrome","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-02: Проверка наличия формы/интерфейса генерации",""
"passed","Mon Feb 16 20:38:18 UTC 2026","Mon Feb 16 20:38:24 UTC 2026","6527","webkit","functional/widget-designs.spec.ts","Widget Color Themes @functional @P1","","","Theme: green - Зеленая тема",""
"passed","Mon Feb 16 20:36:58 UTC 2026","Mon Feb 16 20:37:04 UTC 2026","6234","firefox","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-03: Страница имеет основной заголовок h1",""
"passed","Mon Feb 16 20:39:41 UTC 2026","Mon Feb 16 20:39:49 UTC 2026","7596","mobile-safari","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-05: Десктоп малый - проверка на небольших мониторах",""
"passed","Mon Feb 16 20:38:43 UTC 2026","Mon Feb 16 20:38:49 UTC 2026","6678","mobile-safari","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-04: Проверка валидности сгенерированного кода",""
"skipped","Mon Feb 16 20:37:24 UTC 2026","Mon Feb 16 20:37:24 UTC 2026","0","mobile-chrome","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-07: Поведение при отсутствии интернета @video @critical",""
"passed","Mon Feb 16 20:37:22 UTC 2026","Mon Feb 16 20:37:27 UTC 2026","4813","firefox","functional/widget-designs.spec.ts","Widget Designs @functional @P0","","","Design: classic - Классический дизайн",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","0","firefox","functional/edge-cases.spec.ts","Edge Cases - Даты и время @functional @P1","","","EDGE-01: Создание события с пересекающимися датами",""
"skipped","Mon Feb 16 20:37:26 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","0","chromium","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-07: Поведение при отсутствии интернета @video @critical",""
"passed","Mon Feb 16 20:38:02 UTC 2026","Mon Feb 16 20:38:09 UTC 2026","6793","chromium","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-04: Проверка валидности сгенерированного кода",""
